gene,connectivity_raw,connectivity_variance_normalized
TMEM106B,0.13512387627610375,0.1778932438161728
CTD-2192J16.15,0.13766366186634688,0.17778601633153102
FTL,0.2092579586176869,0.17769707171062804
CANX,0.23291752372446067,0.17753930494219652
INHBA,0.14567619235964555,0.17752273547900607
UBA52,0.23875757527140676,0.17751763394339243
ZKSCAN1,0.15882753118376275,0.17742657261304837
GRN,0.1537006787302379,0.17713771496071937
RPS7,0.21930804178068056,0.17696614183591872
APLP2,0.21000682499277437,0.1766095173796531
CD55,0.1217995736872072,0.17659341704979145
NIPBL,0.1838701568153908,0.17647003624043767
C19orf43,0.1673560532722888,0.1760627422532425
RPL30P4,0.15353364763334443,0.17603765810978486
PALM3,0.09778856432899823,0.17596886499976722
TMOD3,0.20163158795851416,0.17586946155164293
APP,0.14124971102444514,0.17585520896576928
PRRC2C,0.20734402545449848,0.17583844121380943
TIMP2,0.14902710808247308,0.17580737842640692
TRIO,0.1729159718828895,0.17577403457107227
LASP1,0.17480995203669097,0.17574563437096527
MT-ND3,0.2504297932097087,0.1753314425959869
RPS12P26,0.09498942609468664,0.17398836949421062
ANXA3,0.143960899718354,0.17366600304558358
HIST1H2BD,0.10479865229753796,0.17362730548464467
TEAD1,0.1408494289718786,0.17344807949421115
TPT1,0.237310036277382,0.17327750284277932
HNRNPK,0.18448442492170614,0.17325602715960334
LAMB1,0.15226963198890012,0.172964748357284
AKR1B1,0.2204216112497305,0.17278439497649872
ALDH3A1,0.2327859754630451,0.1727503895529126
SERPINE2,0.1498523489967809,0.1725475926491616
MT-ND6,0.17759323863655754,0.172409354424817
CHD4,0.21175395431444,0.17221641569904209
CHD3,0.16849939491698565,0.17209788773495027
CLIP1,0.16284504599671717,0.1718930124800923
RPS15,0.21934578845810518,0.1718265041531672
TMBIM6,0.22129550241921567,0.17145153314867934
RPL24P8,0.10851866289476891,0.17140849995763022
AKAP9,0.191881025246744,0.17098033602427334
RPL4,0.23274744083733886,0.1705879674709062
UBXN1,0.15818956805320925,0.17058361613936848
CTSA,0.12120392394868149,0.1704306315800351
CAST,0.21302157782276498,0.1703837065875814
ARF1,0.2034153297675215,0.17008311936111373
MRFAP1,0.1715247502017394,0.16989564802434312
ELF3,0.14542857190324368,0.16981002862136596
CTTN,0.17247905676904624,0.16968492017887954
MYO1C,0.12217364136577868,0.16952088081678673
RPL26,0.24392955340470365,0.1694198769829372
GOLGB1,0.20149047065964368,0.16934536368080258
LAMA5,0.123371373130139,0.1689731522857697
RPSA,0.18291736562830668,0.16889035460658822
SERINC3,0.13724091653107462,0.1688559243340301
SKIL,0.17979735573646083,0.16869567865461496
MAP1B,0.21728893022485365,0.16865888002178525
CCNI,0.18249144335736392,0.16843306213455245
RP11-380G5.3,0.1038461439590078,0.1681879972779451
UCHL1,0.23323978407702262,0.16814413697874764
PRRC2B,0.1322448882701687,0.16812646550580324
P4HB,0.1870572350205085,0.1679119915276624
MFF,0.12932602304491683,0.16779013390366032
EFCAB14,0.11512407461937231,0.16773363933686414
RPL34,0.23046649174978748,0.1677229155607162
NQO1,0.22422500231248194,0.16770672768779873
EIF4B,0.14376421113714405,0.16757437471302897
EIF1,0.2155891322587154,0.16751953743918616
ATP13A3,0.15569354418505624,0.1673851979910355
DLG1,0.1317744730869821,0.1673723234264636
DSTN,0.22873202227638498,0.16731240763946265
RP11-36C20.1,0.16979149000163307,0.1670476660983324
SRSF5,0.17164084214000455,0.16687338004543376
CUL4B,0.1353130758740641,0.16663997767584615
C11orf31,0.16242804778910752,0.16649408954785114
C6orf62,0.1457048998974684,0.16642591590220066
PNISR,0.16179920719806068,0.1664094874226342
GPC1,0.15039858827778954,0.166276614776199
SEPW1,0.1531519555036589,0.16623475136682342
RPS4X,0.2304673713133661,0.16612266282659255
LAMC2,0.12180567481621522,0.16591117635906188
NLN,0.1070633504886679,0.1657795713648433
MET,0.15871758922114007,0.16569429789976875
TCF25,0.17169949693958586,0.16564454627682326
UBL3,0.11165857144880262,0.16549144385295161
