gene,connectivity
SLC3A2,0.20996698714858572
KPNB1,0.2098579010049313
RPS21,0.2097842519093662
COX7A2,0.20946574964789125
SEPT2,0.20932049138622166
ITGA6,0.2089035709766528
YWHAZ,0.20848596399937416
HSPA5,0.20817738961881718
TARS,0.20790258197862221
EIF3A,0.20786927315266582
COX6B1,0.20786836947979853
EIF4A2,0.2077344063185738
S100A10,0.20747947482168067
RPL27,0.20736040208389936
ILF3,0.20726682350069872
AP2S1,0.20707922294624478
ATP5B,0.20687759044136342
RPL14,0.20663481727900918
HNRNPM,0.20624643466976691
MYEOV2,0.20623347491410862
CFL1,0.20615105451490504
FSTL1,0.20610093799964818
P4HB,0.20579944404106737
LDHB,0.2054423437808988
ASPH,0.20504499786488464
RALBP1,0.20464016992489875
MT-CO3,0.2043035124370956
SRP14,0.20420269176799533
TYMS,0.20419674362154092
HINT1,0.2041943813974885
NDUFS5,0.20363033875407693
GGCT,0.20356764321745374
TCF25,0.20334955622435102
PSMB6,0.20287755068915786
GOLGB1,0.20284765026830315
UQCRH,0.20229663974893572
RPL36,0.20222839702966666
PGRMC2,0.20219710001242072
RPL13,0.20192746245723286
PTTG1,0.20169945204039158
RPLP2,0.20144976052518282
RPS29,0.20141459483828048
RPS5,0.20109791941257013
BTF3,0.20071468800610218
HNRNPAB,0.2002872698449667
ZFAS1,0.2000391458589799
HNRNPR,0.200032256396752
RPS15A,0.1998917229883854
COX8A,0.1997937639095117
PRDX1,0.1996710367708446
CAST,0.19957256799324447
PARK7,0.19955935249678705
RPL19,0.1994359793912627
SNW1,0.19911406738753223
RPS20,0.19909794098823594
C17orf76-AS1,0.1990862048296277
MDK,0.19905367341680158
SLC25A3,0.19897079354317962
UBL5,0.19854139110654653
RPL39,0.1985031016257083
RPA3,0.1983410553369775
NACA,0.19822200737706178
ZC3H13,0.1977274972998634
ATP5J,0.1977098964656153
HNRNPA1,0.19757810698975356
RPL27A,0.19741027894918
FTLP3,0.19726412489574674
CHD3,0.19715019596587388
POLR2L,0.19699640648045724
GHITM,0.19654434684342384
MTATP6P1,0.19650677115960968
PDIA3,0.19632253770030816
PARP1,0.1962753404045818
ANXA5,0.19589998068086636
MGST1,0.19569597351235002
DDX46,0.19549189490740354
UBB,0.19535553285169568
C19orf43,0.19448178577066522
TNFRSF12A,0.19406359413300625
FDPS,0.1939019284873978
S100P,0.19383903260055974
LCN2,0.1936860871833656
RPLP0,0.19357296174112265
PFDN5,0.1935034299853057
CHMP4B,0.1934247100377553
COTL1,0.1929824900497473
ATP6V0E1,0.1928355732716159
RAN,0.19280743677951623
NQO1,0.19263544097228735
PDIA6,0.19241327894212112
PRRC2C,0.1923522346283934
RPL38,0.19233159569961372
HMGB1,0.19221553317873272
HSPE1,0.1921179864294751
CTSD,0.19200902429670805
RDX,0.1918111546439917
CBX5,0.19174348779230357
RP11-36C20.1,0.1916821661812363
TPM4,0.1914365241756089
PDCD6,0.19127111836893068
UBXN4,0.19123970854452563
USP1,0.19121948239107994
XRCC5,0.19121103245007756
EIF3B,0.19099600810651307
AP2M1,0.1907593394565712
ITM2B,0.19058834197649252
SLC7A11,0.19036534319193002
HNRNPK,0.1903159328255825
AKR1B1,0.18996002311855656
DDX21,0.18953601336252276
PSMD2,0.1893882783475496
RPS27,0.18934190923627908
NDUFB4,0.18917373266453488
MIR205HG,0.1891283330100479
FXR1,0.18883753341529583
SFN,0.18882896886400266
EMP1,0.18870950614328208
HSPD1,0.18861826304105736
DST,0.18842273160440431
FTH1P11,0.188050992204412
TXN,0.18802185402201763
SHFM1,0.188012168409061
RTN3,0.18800115066673542
RPS16,0.18794784936509434
CD9,0.18764618946774975
LMNA,0.18759929870440797
PPIB,0.18748948261658405
DNAJC21,0.18746709375864465
ANAPC16,0.18743095818950076
H2AFY,0.18719970912531392
YBX1,0.18707572015915333
NDUFA1,0.18692478053347744
PTP4A2,0.1866121265168582
PNISR,0.1865227932349749
FADS1,0.18640609637642297
PTMS,0.18627922045463288
HN1,0.1862167935238494
RPL22,0.186077314967772
CSTB,0.18603881239323775
TMSB10,0.1859427152402866
LSM4,0.18590397793447622
RPS3,0.18565145639397512
TRIO,0.18563588321168434
SEC62,0.18531508971686916
RPL30,0.18527735746449794
PSMB7,0.18519731956951316
UQCRB,0.18513584927099241
CDKN2A,0.18465835597545902
EPS8,0.18383659289695226
ATF4,0.18354880497781376
EGFR,0.1835171208747952
FBL,0.18350279588508087
RPS11,0.1834287278754301
TPR,0.1833971133854501
S100A4,0.1832169813821301
CALU,0.18294286792736975
PRC1,0.18276235100608712
BIRC5,0.18207445094408753
ANKRD11,0.18170088950992846
PRDX6,0.18117813748781736
ANXA1,0.18100891961766133
GOLGA2,0.18087606392370284
PLK2,0.1808435631843751
ARPC1B,0.18016150672771264
GUK1,0.17990880981746132
NFE2L2,0.17983435855116023
ANAPC11,0.1797350960309452
FAU,0.1797167730525916
RPL31,0.1791878182575218
RHOA,0.1789359849257829
SNRPB,0.17877245634125657
C11orf31,0.17873805125176218
KIF20B,0.17861420791380914
ACTR2,0.17857572474826525
CMSS1,0.17855882575769638
GNB2L1,0.17846061679313655
KHDRBS1,0.1783594755717964
PSMA4,0.17800606156108656
GLO1,0.17779700736623488
RAD51AP1,0.17770863555873195
LGALS1,0.17763040091698062
SRRM1,0.17754903372901382
ASPM,0.17726216437377385
MT-ND6,0.17715395846227494
ITGB1,0.17704756911476804
ARPC2,0.17696628142667417
MYO6,0.17689453451346573
SEPT7,0.17662223669074167
FILIP1L,0.17661718917816857
PSMB4,0.1765582335594963
ETFB,0.17622038900325446
RPL37P2,0.17612370540705122
SF3B2,0.17611499782081852
SMC2,0.17584508317089015
U2SURP,0.1758348930457431
G3BP1,0.17555546963158147
NDUFA4,0.17537237567045832
KRT13,0.17530824127527908
THOC2,0.17528635620017347
PPM1G,0.17496930268408895
DNMT1,0.17473631898697178
ATP5I,0.1743440166936287
PCBP1,0.17427699586957754
MIS18BP1,0.17426020368923548
RPL32,0.1741543295916694
UGCG,0.17414875834025467
GRN,0.17407852557141468
CD63,0.17385528194588273
PSMB2,0.1735973185945092
CAPN2,0.17332737258224565
MET,0.1730117643065877
GSN,0.17270575774761385
CTTN,0.17267703860086459
GOLGA4,0.17255601485435207
GSPT1,0.1725175926306068
CD44,0.1724831019024878
